headline_length,load_time_ms,missing_elements,bug_occurred
56,587,4,1
97,800,1,0
19,515,0,1
76,213,3,1
65,441,3,1
25,976,3,1
87,1569,4,1
91,764,0,0
79,1097,4,1
79,1563,4,1
92,291,0,0
28,1590,0,1
7,1155,0,1
26,1678,0,1
57,1651,3,1
6,708,2,1
92,975,2,1
34,234,0,0
42,405,2,1
6,1304,2,1
68,1785,0,1
64,1611,2,1
25,1225,4,1
37,1221,1,0
80,1613,1,1
62,765,0,0
26,1329,3,1
93,1995,0,1
53,1700,3,1
95,902,1,0
63,601,0,0
46,929,4,1
96,1779,2,1
64,361,3,1
84,401,2,1
19,1195,2,1
66,469,0,0
66,1015,2,1
51,1494,4,1
66,655,2,1
55,1685,0,1
59,1950,4,1
68,1475,1,0
7,1216,2,1
55,1925,0,1
11,495,1,1
25,1948,1,1
77,919,3,1
43,1972,4,1
22,537,2,1
